# eta = 0.5, tau = 0, delta = 0.1
# N = 256, D = 100, M = 121
# q_min = 3.8147e-07, q_max = 40
# h_initial = 1e-09, v_therm = 2.5	D0 = 0.00625
# Prefactor m(q->0) c = 0.000253578
#t	m[q->0]
9.90792e+07	2.80352e-16
1.08086e+08	2.4409e-16
1.17094e+08	2.1488e-16
1.26101e+08	1.9112e-16
1.35108e+08	1.71598e-16
1.44115e+08	1.55389e-16
1.6213e+08	1.30242e-16
1.80144e+08	1.11758e-16
1.98158e+08	9.75997e-17
2.16173e+08	8.63539e-17
2.34187e+08	7.71515e-17
2.52202e+08	6.94441e-17
2.70216e+08	6.28755e-17
2.8823e+08	5.72055e-17
3.24259e+08	4.79314e-17
3.60288e+08	4.07265e-17
3.96317e+08	3.50435e-17
4.32346e+08	3.05108e-17
4.68374e+08	2.68596e-17
5.04403e+08	2.38897e-17
5.40432e+08	2.14495e-17
5.76461e+08	1.94235e-17
6.48518e+08	1.62801e-17
7.20576e+08	1.39697e-17
7.92634e+08	1.21999e-17
8.64691e+08	1.07942e-17
9.36749e+08	9.64389e-18
1.00881e+09	8.68048e-18
1.08086e+09	7.85941e-18
1.15292e+09	7.15066e-18
1.29704e+09	5.99141e-18
1.44115e+09	5.09079e-18
1.58527e+09	4.38043e-18
1.72938e+09	3.81384e-18
1.8735e+09	3.35744e-18
2.01761e+09	2.98621e-18
2.16173e+09	2.68119e-18
2.30584e+09	2.42793e-18
2.59407e+09	2.03501e-18
2.8823e+09	1.74621e-18
3.17053e+09	1.52499e-18
3.45876e+09	1.34927e-18
3.74699e+09	1.20549e-18
4.03523e+09	1.08506e-18
4.32346e+09	9.82428e-19
4.61169e+09	8.93835e-19
5.18815e+09	7.48928e-19
5.76461e+09	6.36351e-19
6.34107e+09	5.47556e-19
6.91753e+09	4.76732e-19
7.49399e+09	4.19683e-19
8.07045e+09	3.73279e-19
8.64691e+09	3.35151e-19
9.22337e+09	3.03494e-19
1.03763e+10	2.54379e-19
1.15292e+10	2.18279e-19
1.26821e+10	1.90626e-19
1.38351e+10	1.68662e-19
1.4988e+10	1.50689e-19
1.61409e+10	1.35635e-19
1.72938e+10	1.22806e-19
1.84467e+10	1.11732e-19
2.07526e+10	9.36188e-20
2.30584e+10	7.95467e-20
2.53643e+10	6.84473e-20
2.76701e+10	5.95943e-20
2.9976e+10	5.24632e-20
3.22818e+10	4.66626e-20
3.45876e+10	4.18967e-20
3.68935e+10	3.79395e-20
4.15052e+10	3.18002e-20
4.61169e+10	2.72876e-20
5.07285e+10	2.3831e-20
5.53402e+10	2.10855e-20
5.99519e+10	1.88389e-20
6.45636e+10	1.69572e-20
6.91753e+10	1.53536e-20
7.3787e+10	1.39693e-20
8.30103e+10	1.17051e-20
9.22337e+10	9.94609e-21
1.01457e+11	8.55866e-21
1.1068e+11	7.45204e-21
1.19904e+11	6.56064e-21
1.29127e+11	5.83556e-21
1.38351e+11	5.23981e-21
1.47574e+11	4.74516e-21
1.66021e+11	3.97774e-21
1.84467e+11	3.41365e-21
2.02914e+11	2.98157e-21
2.21361e+11	2.63838e-21
2.39808e+11	2.35753e-21
2.58254e+11	2.12231e-21
2.76701e+11	1.92185e-21
2.95148e+11	1.7488e-21
3.32041e+11	1.46576e-21
3.68935e+11	1.24587e-21
4.05828e+11	1.07242e-21
4.42722e+11	9.34068e-22
4.79615e+11	8.22624e-22
5.16509e+11	7.3197e-22
5.53402e+11	6.57481e-22
5.90296e+11	5.95631e-22
6.64083e+11	4.99664e-22
7.3787e+11	4.29115e-22
8.11657e+11	3.75067e-22
8.85444e+11	3.3213e-22
9.59231e+11	2.96987e-22
1.03302e+12	2.67548e-22
1.1068e+12	2.42453e-22
1.18059e+12	2.20787e-22
1.32817e+12	1.85335e-22
1.47574e+12	1.57778e-22
1.62331e+12	1.36028e-22
1.77089e+12	1.18668e-22
1.91846e+12	1.04671e-22
2.06604e+12	9.32746e-23
2.21361e+12	8.39e-23
2.36118e+12	7.61064e-23
2.65633e+12	6.39895e-23
2.95148e+12	5.50545e-23
3.24663e+12	4.81865e-23
3.54177e+12	4.27117e-23
3.83692e+12	3.82153e-23
4.13207e+12	3.44359e-23
4.42722e+12	3.12035e-23
4.72237e+12	2.84032e-23
5.31266e+12	2.37987e-23
5.90296e+12	2.01943e-23
6.49325e+12	1.73285e-23
7.08355e+12	1.50229e-23
7.67385e+12	1.31486e-23
8.26414e+12	1.16095e-23
8.85444e+12	1.03326e-23
9.44473e+12	9.26205e-24
1.06253e+13	7.57859e-24
1.18059e+13	6.32114e-24
1.29865e+13	5.34649e-24
1.41671e+13	4.56708e-24
1.53477e+13	3.92818e-24
1.65283e+13	3.39456e-24
1.77089e+13	2.94279e-24
1.88895e+13	2.55662e-24
2.12506e+13	1.93705e-24
2.36118e+13	1.47155e-24
2.5973e+13	1.11923e-24
2.83342e+13	8.51716e-25
3.06954e+13	6.48289e-25
3.30566e+13	4.935e-25
3.54177e+13	3.75686e-25
3.77789e+13	2.86003e-25
4.25013e+13	1.65751e-25
4.72237e+13	9.60604e-26
5.1946e+13	5.56716e-26
5.66684e+13	3.22643e-26
6.13908e+13	1.86987e-26
6.61131e+13	1.08368e-26
7.08355e+13	6.28044e-27
7.55579e+13	3.63977e-27
8.50026e+13	1.22211e-27
9.44473e+13	4.10344e-28
1.03892e+14	1.37779e-28
1.13337e+14	4.62616e-29
1.22782e+14	1.55331e-29
1.32226e+14	5.21547e-30
1.41671e+14	1.75117e-30
1.51116e+14	5.87921e-31
1.70005e+14	6.61045e-32
1.88895e+14	7.43236e-33
2.07784e+14	8.35647e-34
2.26674e+14	9.39548e-35
2.45563e+14	1.05637e-35
2.64453e+14	1.18771e-36
2.83342e+14	1.33539e-37
3.02231e+14	1.50011e-38
3.4001e+14	1.85302e-40
3.77789e+14	2.28805e-42
4.15568e+14	2.8252e-44
4.53347e+14	3.48847e-46
4.91126e+14	4.30744e-48
5.28905e+14	5.31869e-50
5.66684e+14	6.56734e-52
6.04463e+14	8.04874e-54
6.80021e+14	9.76179e-58
7.55579e+14	1.17554e-61
8.31137e+14	1.41562e-65
9.06694e+14	1.70472e-69
9.82252e+14	2.05287e-73
1.05781e+15	2.47212e-77
1.13337e+15	2.97699e-81
1.20893e+15	3.32757e-85
1.36004e+15	6.16155e-96
1.51116e+15	2.24041e-105
1.66227e+15	1.66e-114
1.81339e+15	2.68899e-124
1.9645e+15	9.45277e-135
2.11562e+15	7.17419e-145
2.26674e+15	1.00092e-153
2.41785e+15	6.28094e-164
2.72008e+15	4.29682e-174
3.02231e+15	1.2227e-189
3.32455e+15	5.90785e-197
3.62678e+15	1.01125e-209
3.92901e+15	7.33092e-220
4.23124e+15	5.48789e-232
4.53347e+15	8.12048e-243
4.8357e+15	2.85089e-253
5.44017e+15	8.59047e-269
6.04463e+15	7.73708e-281
6.64909e+15	2.08118e-294
7.25355e+15	1.93862e-308
7.85802e+15	2.96439e-323
8.46248e+15	0
9.06694e+15	0
9.67141e+15	0
1.08803e+16	0
1.20893e+16	0
1.32982e+16	0
1.45071e+16	0
1.5716e+16	0
1.6925e+16	0
1.81339e+16	0
1.93428e+16	0
2.17607e+16	0
2.41785e+16	0
2.65964e+16	0
2.90142e+16	0
3.14321e+16	0
3.38499e+16	0
3.62678e+16	0
3.86856e+16	0
4.35213e+16	0
4.8357e+16	0
5.31927e+16	0
5.80284e+16	0
6.28641e+16	0
6.76998e+16	0
7.25355e+16	0
7.73713e+16	0
8.70427e+16	0
9.67141e+16	0
1.06385e+17	0
1.16057e+17	0
1.25728e+17	0
1.354e+17	0
